"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 22, 2019","2,961.79","2,983.50","3,007.98","2,945.53","-","-1.01%"
"Sep 15, 2019","2,992.07","2,996.41","3,021.99","2,978.57","-","-0.51%"
"Sep 08, 2019","3,007.39","2,988.43","3,020.74","2,957.01","-","0.96%"
"Sep 01, 2019","2,978.71","2,909.01","2,985.86","2,891.85","-","1.79%"
"Aug 25, 2019","2,926.46","2,866.70","2,940.43","2,853.05","-","2.79%"
"Aug 18, 2019","2,847.11","2,913.48","2,939.08","2,834.97","-","-1.44%"
"Aug 11, 2019","2,888.68","2,907.07","2,943.31","2,825.51","-","-1.03%"
"Aug 04, 2019","2,918.65","2,898.07","2,938.72","2,822.12","-","-0.46%"
"Jul 28, 2019","2,932.05","3,024.47","3,025.61","2,914.11","-","-3.10%"
"Jul 21, 2019","3,025.86","2,981.93","3,027.98","2,976.65","-","1.65%"
"Jul 14, 2019","2,976.61","3,017.80","3,017.80","2,973.09","-","-1.23%"
"Jul 07, 2019","3,013.77","2,979.77","3,013.92","2,963.44","-","0.78%"
"Jun 30, 2019","2,990.41","2,971.41","2,995.84","2,952.22","-","1.65%"
"Jun 23, 2019","2,941.76","2,951.42","2,954.92","2,912.99","-","-0.29%"
"Jun 16, 2019","2,950.46","2,889.75","2,964.15","2,887.30","-","2.20%"
"Jun 09, 2019","2,886.98","2,885.83","2,910.61","2,874.68","-","0.47%"
"Jun 02, 2019","2,873.34","2,751.53","2,884.97","2,728.81","-","4.41%"
"May 26, 2019","2,752.06","2,830.03","2,840.51","2,750.52","-","-2.62%"
"May 19, 2019","2,826.06","2,841.94","2,868.88","2,805.49","-","-1.17%"
"May 12, 2019","2,859.53","2,840.19","2,892.15","2,801.43","-","-0.76%"
"May 05, 2019","2,881.40","2,908.89","2,937.32","2,825.39","-","-2.18%"
"Apr 28, 2019","2,945.64","2,940.58","2,954.13","2,900.50","-","0.20%"
"Apr 21, 2019","2,939.88","2,898.78","2,939.88","2,896.35","-","1.20%"
"Apr 14, 2019","2,905.03","2,908.32","2,918.00","2,891.90","-","-0.08%"
"Apr 07, 2019","2,907.41","2,888.46","2,910.54","2,873.33","-","0.51%"
"Mar 31, 2019","2,892.74","2,848.63","2,893.24","2,848.63","-","2.06%"
"Mar 24, 2019","2,834.40","2,796.01","2,836.03","2,785.02","-","1.20%"
"Mar 17, 2019","2,800.71","2,822.61","2,860.31","2,800.47","-","-0.77%"
"Mar 10, 2019","2,822.48","2,747.61","2,830.73","2,747.61","-","2.89%"
"Mar 03, 2019","2,743.07","2,814.37","2,816.88","2,722.27","-","-2.16%"
"Feb 24, 2019","2,803.69","2,804.35","2,813.49","2,775.13","-","0.39%"
"Feb 17, 2019","2,792.67","2,769.28","2,794.20","2,764.55","-","0.61%"
"Feb 10, 2019","2,775.60","2,712.40","2,775.66","2,703.79","-","2.50%"
"Feb 03, 2019","2,707.88","2,706.49","2,738.98","2,681.83","-","0.05%"
"Jan 27, 2019","2,706.53","2,644.97","2,716.66","2,624.06","-","1.57%"
"Jan 20, 2019","2,664.76","2,657.88","2,672.38","2,612.86","-","-0.22%"
"Jan 13, 2019","2,670.71","2,580.31","2,675.47","2,570.41","-","2.87%"
"Jan 06, 2019","2,596.26","2,535.61","2,597.82","2,524.56","-","2.54%"
"Dec 30, 2018","2,531.94","2,498.94","2,538.07","2,443.96","-","1.86%"
"Dec 23, 2018","2,485.74","2,400.56","2,520.27","2,346.58","-","2.86%"
"Dec 16, 2018","2,416.62","2,590.75","2,601.13","2,408.55","-","-7.05%"
"Dec 09, 2018","2,599.95","2,630.86","2,685.44","2,583.23","-","-1.26%"
"Dec 02, 2018","2,633.08","2,790.50","2,800.18","2,621.53","-","-4.60%"
"Nov 25, 2018","2,760.17","2,649.97","2,760.88","2,649.97","-","4.85%"
"Nov 18, 2018","2,632.56","2,730.74","2,733.16","2,631.09","-","-3.79%"
"Nov 11, 2018","2,736.27","2,773.93","2,775.99","2,670.75","-","-1.61%"
"Nov 04, 2018","2,781.01","2,726.37","2,815.15","2,717.94","-","2.13%"
"Oct 28, 2018","2,723.06","2,682.65","2,756.55","2,603.54","-","2.42%"
"Oct 21, 2018","2,658.69","2,773.94","2,778.94","2,628.16","-","-3.94%"
"Oct 14, 2018","2,767.78","2,763.83","2,816.94","2,749.03","-","0.02%"
"Oct 07, 2018","2,767.13","2,877.53","2,894.83","2,710.51","-","-4.10%"
"Sep 30, 2018","2,885.57","2,926.29","2,939.86","2,869.29","-","-0.97%"
"Sep 23, 2018","2,913.98","2,921.83","2,931.15","2,903.28","-","-0.54%"
"Sep 16, 2018","2,929.67","2,903.83","2,940.91","2,886.16","-","0.85%"
"Sep 09, 2018","2,904.98","2,881.39","2,908.30","2,866.78","-","1.16%"
"Sep 02, 2018","2,871.68","2,896.96","2,900.18","2,864.12","-","-1.03%"
"Aug 26, 2018","2,901.52","2,884.69","2,916.50","2,884.69","-","0.93%"
"Aug 19, 2018","2,874.69","2,853.93","2,876.16","2,850.62","-","0.86%"
"Aug 12, 2018","2,850.13","2,835.46","2,855.63","2,802.49","-","0.59%"
"Aug 05, 2018","2,833.28","2,840.29","2,863.43","2,825.81","-","-0.25%"
"Jul 29, 2018","2,840.35","2,819.00","2,840.38","2,796.34","-","0.76%"
"Jul 22, 2018","2,818.82","2,799.17","2,848.03","2,795.14","-","0.61%"
"Jul 15, 2018","2,801.83","2,801.43","2,816.76","2,789.24","-","0.02%"
"Jul 08, 2018","2,801.31","2,768.51","2,804.53","2,768.51","-","1.50%"
"Jul 01, 2018","2,759.82","2,704.95","2,764.41","2,698.95","-","1.52%"
"Jun 24, 2018","2,718.37","2,742.94","2,746.09","2,691.99","-","-1.33%"
"Jun 17, 2018","2,754.88","2,765.79","2,774.99","2,743.19","-","-0.89%"
"Jun 10, 2018","2,779.66","2,780.18","2,791.47","2,761.73","-","0.02%"
"Jun 03, 2018","2,779.03","2,741.67","2,779.90","2,739.51","-","1.62%"
"May 27, 2018","2,734.62","2,705.11","2,736.93","2,676.81","-","0.49%"
"May 20, 2018","2,721.33","2,725.95","2,742.24","2,707.38","-","0.31%"
"May 13, 2018","2,712.97","2,733.37","2,742.10","2,701.91","-","-0.54%"
"May 06, 2018","2,727.72","2,669.36","2,732.86","2,655.20","-","2.41%"
"Apr 29, 2018","2,663.42","2,675.05","2,682.92","2,594.62","-","-0.24%"
"Apr 22, 2018","2,669.91","2,675.40","2,683.55","2,612.67","-","-0.01%"
"Apr 15, 2018","2,670.14","2,670.10","2,717.49","2,660.61","-","0.52%"
"Apr 08, 2018","2,656.30","2,617.18","2,680.26","2,610.79","-","1.99%"
"Apr 01, 2018","2,604.47","2,633.45","2,672.08","2,553.80","-","-1.38%"
"Mar 25, 2018","2,640.87","2,619.35","2,674.78","2,593.06","-","2.03%"
"Mar 18, 2018","2,588.26","2,741.38","2,741.38","2,585.89","-","-5.95%"
"Mar 11, 2018","2,752.01","2,790.54","2,801.90","2,741.47","-","-1.24%"
"Mar 04, 2018","2,786.57","2,681.06","2,786.57","2,675.75","-","3.54%"
"Feb 25, 2018","2,691.25","2,757.37","2,789.15","2,647.32","-","-2.04%"
"Feb 18, 2018","2,747.30","2,722.99","2,747.76","2,697.77","-","0.55%"
"Feb 11, 2018","2,732.22","2,636.75","2,754.42","2,622.45","-","4.30%"
"Feb 04, 2018","2,619.55","2,741.06","2,763.39","2,532.69","-","-5.16%"
"Jan 28, 2018","2,762.13","2,867.23","2,870.62","2,759.97","-","-3.85%"
"Jan 21, 2018","2,872.87","2,809.16","2,872.87","2,808.12","-","2.23%"
"Jan 14, 2018","2,810.30","2,798.96","2,810.33","2,768.64","-","0.86%"
"Jan 07, 2018","2,786.24","2,742.67","2,787.85","2,736.06","-","1.57%"
"Dec 31, 2017","2,743.15","2,683.73","2,743.45","2,682.36","-","2.60%"
"Dec 24, 2017","2,673.61","2,679.09","2,692.12","2,673.61","-","-0.36%"
"Dec 17, 2017","2,683.34","2,685.92","2,694.97","2,676.11","-","0.28%"
"Dec 10, 2017","2,675.81","2,652.19","2,679.63","2,651.47","-","0.92%"
"Dec 03, 2017","2,651.50","2,657.19","2,665.19","2,624.75","-","0.35%"
"Nov 26, 2017","2,642.22","2,602.66","2,657.74","2,598.87","-","1.53%"
"Nov 19, 2017","2,602.42","2,579.49","2,604.21","2,578.24","-","0.91%"
"Nov 12, 2017","2,578.85","2,576.53","2,590.09","2,557.45","-","-0.13%"
"Nov 05, 2017","2,582.30","2,587.47","2,597.02","2,566.33","-","-0.21%"
"Oct 29, 2017","2,587.84","2,577.75","2,588.42","2,566.17","-","0.26%"
"Oct 22, 2017","2,581.07","2,578.08","2,582.98","2,544.00","-","0.23%"
"Oct 15, 2017","2,575.21","2,555.57","2,575.44","2,547.92","-","0.86%"
"Oct 08, 2017","2,553.17","2,551.39","2,557.65","2,541.60","-","0.15%"
"Oct 01, 2017","2,549.33","2,521.20","2,552.51","2,520.40","-","1.19%"
"Sep 24, 2017","2,519.36","2,499.39","2,519.44","2,488.03","-","0.68%"
"Sep 17, 2017","2,502.22","2,502.51","2,508.85","2,496.54","-","0.08%"
"Sep 10, 2017","2,500.23","2,474.52","2,500.23","2,474.52","-","1.58%"
"Sep 03, 2017","2,461.43","2,470.35","2,471.97","2,446.55","-","-0.61%"
"Aug 27, 2017","2,476.55","2,447.35","2,480.38","2,428.20","-","1.37%"
"Aug 20, 2017","2,443.05","2,425.50","2,454.77","2,417.35","-","0.72%"
"Aug 13, 2017","2,425.55","2,454.96","2,474.93","2,420.69","-","-0.65%"
"Aug 06, 2017","2,441.32","2,477.14","2,490.87","2,437.75","-","-1.43%"
"Jul 30, 2017","2,476.83","2,475.94","2,480.38","2,466.48","-","0.19%"
