"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2020","7,502.38","6,847.28","7,809.82","6,631.42","5.43B","9.05%"
"Mar 15, 2020","6,879.52","7,392.73","7,422.20","6,686.36","6.66B","-12.64%"
"Mar 08, 2020","7,874.88","7,957.93","8,347.40","7,194.67","5.98B","-8.17%"
"Mar 01, 2020","8,575.62","8,667.14","9,070.32","8,375.13","5.02B","0.10%"
"Feb 23, 2020","8,567.37","9,188.44","9,322.88","8,264.16","5.13B","-10.54%"
"Feb 16, 2020","9,576.59","9,679.04","9,838.37","9,542.33","2.48B","-1.59%"
"Feb 09, 2020","9,731.18","9,493.63","9,748.32","9,493.63","2.79B","2.21%"
"Feb 02, 2020","9,520.51","9,190.72","9,575.66","9,188.55","2.99B","4.04%"
"Jan 26, 2020","9,150.94","9,092.46","9,329.11","9,088.04","3.04B","-1.76%"
"Jan 19, 2020","9,314.91","9,361.07","9,451.43","9,273.23","2.51B","-0.79%"
"Jan 12, 2020","9,388.94","9,213.72","9,393.48","9,193.06","3.04B","2.29%"
"Jan 05, 2020","9,178.86","8,943.50","9,235.20","8,943.50","3.02B","1.75%"
"Dec 29, 2019","9,020.77","9,004.45","9,093.43","8,909.19","2.31B","0.16%"
"Dec 22, 2019","9,006.62","8,950.20","9,052.00","8,934.36","1.60B","0.92%"
"Dec 15, 2019","8,924.95","8,791.31","8,931.91","8,789.77","4.14B","2.18%"
"Dec 08, 2019","8,734.88","8,650.86","8,768.87","8,600.82","2.68B","0.91%"
"Dec 01, 2019","8,656.53","8,672.84","8,672.84","8,435.40","2.80B","-0.10%"
"Nov 24, 2019","8,665.47","8,559.65","8,705.91","8,559.65","2.05B","1.71%"
"Nov 17, 2019","8,519.89","8,529.16","8,589.76","8,468.63","2.81B","-0.25%"
"Nov 10, 2019","8,540.83","8,431.26","8,540.83","8,425.49","2.54B","0.77%"
"Nov 03, 2019","8,475.31","8,445.50","8,483.16","8,379.33","2.83B","1.06%"
"Oct 27, 2019","8,386.40","8,285.77","8,386.75","8,241.70","2.57B","1.74%"
"Oct 20, 2019","8,243.12","8,137.42","8,249.97","8,078.35","2.35B","1.90%"
"Oct 13, 2019","8,089.54","8,044.35","8,183.64","8,036.41","2.35B","0.40%"
"Oct 06, 2019","8,057.04","7,956.41","8,115.80","7,823.73","2.35B","0.93%"
"Sep 29, 2019","7,982.46","7,964.09","8,062.50","7,700.00","2.64B","0.54%"
"Sep 22, 2019","7,939.63","8,106.49","8,158.84","7,890.28","2.61B","-2.19%"
"Sep 15, 2019","8,117.67","8,121.64","8,237.43","8,086.16","3.51B","-0.72%"
