Date;Price;Open;High;Low;Vol.;Change %;;Price
Mar 24, 2019,;4,165.1;4,063.0;4,210.0;3,939.1;47.36K;2.51%;;2,892.74
Mar 17, 2019,;4,063.2;4,088.0;4,138.7;4,005.2;41.78K;-0.61%;;2,834.40
Mar 10, 2019,;4,088.0;4,017.3;4,152.7;3,882.8;46.50K;1.76%;;2,800.71
Mar 03, 2019,;4,017.3;3,913.0;4,046.2;3,767.4;57.07K;2.67%;;2,822.48
Feb 24, 2019,;3,913.0;4,212.2;4,282.4;3,767.0;85.25K;-7.09%;;2,743.07
Feb 17, 2019,;4,211.7;3,676.5;4,255.0;3,669.9;134.65K;14.56%;;2,803.69
Feb 10, 2019,;3,676.4;3,718.3;3,753.5;3,642.8;66.07K;-1.13%;;2,792.67
Feb 03, 2019,;3,718.4;3,564.5;3,799.6;3,426.9;97.97K;4.32%;;2,775.60
Jan 27, 2019,;3,564.3;3,630.7;3,642.5;3,427.2;78.34K;-1.83%;;2,707.88
Jan 20, 2019,;3,630.7;3,762.3;3,796.0;3,501.0;80.07K;-3.44%;;2,706.53
Jan 13, 2019,;3,760.0;3,702.0;3,858.5;3,574.1;75.76K;1.57%;;2,664.76
Jan 06, 2019,;3,702.0;3,911.0;4,214.5;3,674.4;136.71K;-5.34%;;2,670.71
Dec 30, 2018,;3,911.0;3,893.8;4,076.0;3,779.5;105.09K;0.62%;;2,596.26
Dec 23, 2018,;3,887.0;4,135.0;4,384.0;3,691.1;192.67K;-6.00%;;2,531.94
Dec 16, 2018,;4,135.0;3,282.2;4,283.0;3,278.0;289.66K;25.87%;;2,485.74
Dec 09, 2018,;3,285.1;3,506.0;3,766.6;3,216.1;169.13K;-6.30%;;2,416.62
Dec 02, 2018,;3,506.0;4,241.4;4,353.2;3,278.4;316.32K;-17.37%;;2,599.95
Nov 25, 2018,;4,243.0;3,934.9;4,472.0;3,663.0;382.98K;7.97%;;2,633.08
Nov 18, 2018,;3,929.8;5,637.2;5,716.0;3,834.7;340.85K;-30.16%;;2,760.17
Nov 11, 2018,;5,626.7;6,431.0;6,497.5;5,441.5;180.29K;-12.51%;;2,632.56
Nov 04, 2018,;6,431.1;6,389.2;6,607.1;6,360.1;63.72K;0.68%;;2,736.27
Oct 28, 2018,;6,387.9;6,498.4;6,510.1;6,248.2;70.51K;-1.73%;;2,781.01
Oct 21, 2018,;6,500.2;6,582.9;6,655.0;6,480.1;51.02K;-1.31%;;2,723.06
Oct 14, 2018,;6,586.7;6,326.0;7,704.2;6,300.0;155.82K;4.11%;;2,658.69
Oct 07, 2018,;6,326.5;6,595.2;6,718.4;6,223.0;101.16K;-4.03%;;2,767.78
Sep 30, 2018,;6,592.0;6,590.0;6,666.9;6,428.1;81.90K;-0.19%;;2,767.13
Sep 23, 2018,;6,604.6;6,723.1;6,825.0;6,350.2;136.61K;-1.76%;;2,885.57
Sep 16, 2018,;6,723.0;6,512.8;6,840.0;6,112.7;170.75K;3.21%;;2,913.98
Sep 09, 2018,;6,513.6;6,184.9;6,593.0;6,142.2;115.74K;5.31%;;2,929.67
Sep 02, 2018,;6,185.0;7,197.5;7,410.3;6,130.3;237.10K;-14.07%;;2,904.98
Aug 26, 2018,;7,197.5;6,732.8;7,260.4;6,574.5;153.64K;6.90%;;2,871.68
Aug 19, 2018,;6,732.9;6,395.0;6,885.0;6,230.2;197.42K;5.35%;;2,901.52
Aug 12, 2018,;6,391.2;6,234.7;6,623.8;5,879.3;254.04K;2.54%;;2,874.69
Aug 05, 2018,;6,232.7;7,013.2;7,149.9;6,008.2;243.16K;-11.13%;;2,850.13
Jul 29, 2018,;7,013.2;8,235.7;8,293.9;6,930.0;196.03K;-14.95%;;2,833.28
Jul 22, 2018,;8,246.4;7,403.4;8,500.2;7,338.9;265.31K;11.39%;;2,840.35
Jul 15, 2018,;7,403.3;6,250.0;7,681.0;6,232.3;217.18K;18.45%;;2,818.82
Jul 08, 2018,;6,250.1;6,761.8;6,820.0;6,080.8;139.14K;-7.57%;;2,801.83
