"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2019","1,523.10","1,505.40","1,510.40","1,501.70","3.20K","0.01%"
"Dec 08, 2019","1,523.00","1,493.20","1,514.00","1,489.40","1.21K","1.25%"
"Dec 01, 2019","1,504.20","1,494.00","1,513.50","1,485.00","1.74K","-0.43%"
"Nov 24, 2019","1,510.70","1,490.90","1,495.40","1,481.00","1.67K","0.18%"
"Nov 17, 2019","1,508.00","1,498.40","1,509.20","1,488.80","0.00K","-0.37%"
"Nov 10, 2019","1,513.60","1,494.00","1,504.70","1,480.00","3.30K","0.21%"
"Nov 03, 2019","1,510.40","1,534.70","1,534.70","1,534.70","0.00K","-2.83%"
"Oct 27, 2019","1,554.40","1,552.00","1,552.00","1,552.00","0.00K","0.43%"
"Oct 20, 2019","1,547.70","1,548.80","1,556.70","1,548.80","0.00K","0.83%"
"Oct 13, 2019","1,535.00","1,529.00","1,530.00","1,510.00","0.83K","0.34%"
"Oct 06, 2019","1,529.80","1,538.90","1,548.00","1,508.00","2.18K","-1.42%"
"Sep 29, 2019","1,551.90","1,533.00","1,551.80","1,499.00","1.59K","0.23%"
"Sep 22, 2019","1,548.30","1,556.60","1,573.00","1,525.70","1.19K","0.19%"
"Sep 15, 2019","1,545.30","1,542.60","1,553.50","1,528.80","1.46K","0.95%"
"Sep 08, 2019","1,530.70","1,540.10","1,558.60","1,524.90","1.04K","-0.82%"
"Sep 01, 2019","1,543.30","1,562.80","1,590.70","1,539.20","0.73K","-0.89%"
"Aug 25, 2019","1,557.20","1,584.50","1,584.50","1,555.00","1.17K","-0.40%"
"Aug 18, 2019","1,563.50","1,543.90","1,563.50","1,530.20","1.58K","0.92%"
"Aug 11, 2019","1,549.20","1,536.00","1,571.70","1,523.10","0.91K","0.96%"
"Aug 04, 2019","1,534.50","1,487.40","1,547.70","1,487.40","0.46K","3.31%"
"Jul 28, 2019","1,485.30","1,469.00","1,485.60","1,443.30","0.39K","1.71%"
"Jul 21, 2019","1,460.40","1,458.60","1,468.00","1,456.10","1.10K","-0.35%"
"Jul 14, 2019","1,465.50","1,453.40","1,488.50","1,453.40","0.08K","1.01%"
"Jul 07, 2019","1,450.90","1,436.90","1,467.20","1,430.60","0.20K","1.00%"
"Jun 30, 2019","1,436.60","1,444.00","1,465.50","1,424.40","0.10K","-0.71%"
"Jun 23, 2019","1,446.80","1,439.10","1,473.90","1,439.00","0.26K","0.98%"
"Jun 16, 2019","1,432.70","1,379.70","1,444.00","1,379.70","0.72K","3.71%"
"Jun 09, 2019","1,381.50","1,378.00","1,389.20","1,367.00","0.06K","-0.03%"
"Jun 02, 2019","1,381.90","1,356.50","1,388.50","1,356.50","0.39K","2.39%"
"May 26, 2019","1,349.60","1,322.60","1,347.80","1,322.60","0.66K","1.47%"
"May 19, 2019","1,330.10","1,324.20","1,329.20","1,320.10","0.12K","0.57%"
"May 12, 2019","1,322.50","1,350.20","1,350.20","1,322.50","0.19K","-1.10%"
"May 05, 2019","1,337.20","1,334.00","1,338.00","1,334.00","0.05K","0.41%"
"Apr 28, 2019","1,331.70","1,331.60","1,335.70","1,323.00","0.00K","-0.56%"
"Apr 21, 2019","1,339.20","1,328.50","1,339.20","1,323.80","0.01K","0.93%"
"Apr 14, 2019","1,326.90","1,342.40","1,342.40","1,326.90","0.05K","-1.44%"
"Apr 07, 2019","1,346.30","1,351.90","1,363.90","1,346.30","0.00K","0.08%"
"Mar 31, 2019","1,345.20","1,342.70","1,345.20","1,340.80","0.00K","-0.06%"
"Mar 24, 2019","1,346.00","1,348.00","1,354.10","1,342.20","0.15K","-1.70%"
"Mar 17, 2019","1,369.30","1,368.20","1,368.20","1,368.20","0.03K","0.64%"
"Mar 10, 2019","1,360.60","1,350.00","1,350.00","1,350.00","0.00K","0.15%"
"Mar 03, 2019","1,358.50","1,358.50","1,358.50","1,358.50","0.00K","0.01%"
"Feb 24, 2019","1,358.30","1,374.00","1,374.00","1,374.00","0.01K","-2.46%"
"Feb 17, 2019","1,392.50","1,388.00","1,388.00","1,388.00","0.20K","0.82%"
"Feb 10, 2019","1,381.20","1,381.20","1,381.20","1,381.20","0.07K","0.25%"
"Feb 03, 2019","1,377.80","1,377.80","1,377.80","1,377.80","0.09K","-0.24%"
"Jan 27, 2019","1,381.10","1,377.60","1,382.60","1,377.60","0.14K","1.25%"
"Jan 20, 2019","1,364.00","1,360.00","1,360.00","1,360.00","0.01K","1.18%"
"Jan 13, 2019","1,348.10","1,348.10","1,348.10","1,348.10","0.03K","-0.54%"
"Jan 06, 2019","1,355.40","1,355.40","1,355.40","1,355.40","0.56K","0.33%"
"Dec 30, 2018","1,351.00","1,351.80","1,351.80","1,351.80","0.11K","0.20%"
"Dec 23, 2018","1,348.30","1,343.00","1,343.00","1,343.00","0.00K","1.90%"
"Dec 16, 2018","1,323.10","1,323.10","1,323.10","1,323.10","0.01K","1.23%"
"Dec 09, 2018","1,307.00","1,307.00","1,307.00","1,307.00","0.01K","-0.95%"
"Dec 02, 2018","1,319.50","1,313.90","1,313.90","1,309.50","0.03K","2.07%"
"Nov 25, 2018","1,292.70","1,289.70","1,289.70","1,289.70","0.00K","-0.26%"
"Nov 18, 2018","1,296.10","1,296.10","1,296.10","1,296.10","0.10K","0.09%"
"Nov 11, 2018","1,294.90","1,294.90","1,294.90","1,294.90","0.04K","0.99%"
"Nov 04, 2018","1,282.20","1,282.20","1,282.20","1,282.20","0.04K","-1.92%"
"Oct 28, 2018","1,307.30","1,296.70","1,296.70","1,291.10","0.01K","-0.18%"
"Oct 21, 2018","1,309.70","1,309.70","1,309.70","1,309.70","0.11K","0.45%"
